Speaker,Prompt Name,Language,Gender,Tags,Prompt Audio Link,Continuation Audio Link
Speaker 0 (FR),v2/fr_speaker_0,French,Male,,https://dl.suno-models.io/bark/prompts/prompt_audio/fr_speaker_0.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/fr_speaker_0.mp3
Speaker 1 (FR),v2/fr_speaker_1,French,Female,,https://dl.suno-models.io/bark/prompts/prompt_audio/fr_speaker_1.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/fr_speaker_1.mp3
Speaker 2 (FR),v2/fr_speaker_2,French,Female,Prolonged silence at the beginning,https://dl.suno-models.io/bark/prompts/prompt_audio/fr_speaker_2.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/fr_speaker_2.mp3
Speaker 3 (FR),v2/fr_speaker_3,French,Male,,https://dl.suno-models.io/bark/prompts/prompt_audio/fr_speaker_3.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/fr_speaker_3.mp3
Speaker 4 (FR),v2/fr_speaker_4,French,Male,,https://dl.suno-models.io/bark/prompts/prompt_audio/fr_speaker_4.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/fr_speaker_4.mp3
Speaker 5 (FR),v2/fr_speaker_5,French,Female,,https://dl.suno-models.io/bark/prompts/prompt_audio/fr_speaker_5.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/fr_speaker_5.mp3
Speaker 6 (FR),v2/fr_speaker_6,French,Male,,https://dl.suno-models.io/bark/prompts/prompt_audio/fr_speaker_6.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/fr_speaker_6.mp3
Speaker 7 (FR),v2/fr_speaker_7,French,Male,,https://dl.suno-models.io/bark/prompts/prompt_audio/fr_speaker_7.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/fr_speaker_7.mp3
Speaker 8 (FR),v2/fr_speaker_8,French,Male,,https://dl.suno-models.io/bark/prompts/prompt_audio/fr_speaker_8.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/fr_speaker_8.mp3
Speaker 9 (FR),v2/fr_speaker_9,French,Male,Auditorium,https://dl.suno-models.io/bark/prompts/prompt_audio/fr_speaker_9.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/fr_speaker_9.mp3
